Individu,Date_voyage,Code_pays
Obama,2015-01-01T00:00:00.000Z,ETH
Obama,2015-01-01T00:00:00.000Z,KEN
Clinton,1998-01-01T00:00:00.000Z,RWA
Bush,2008-01-01T00:00:00.000Z,RWA
Bush,1993-01-01T00:00:00.000Z,SOM
Clinton,2000-01-01T00:00:00.000Z,TZA
Bush,2008-01-01T00:00:00.000Z,TZA
Obama,2013-01-01T00:00:00.000Z,TZA
Clinton,1998-01-01T00:00:00.000Z,UGA
Bush,2003-01-01T00:00:00.000Z,UGA
Roosevelt,1943-01-01T00:00:00.000Z,EGY
Nixon,1974-01-01T00:00:00.000Z,EGY
Carter,1978-01-01T00:00:00.000Z,EGY
Bush,1990-01-01T00:00:00.000Z,EGY
Clinton,1994-01-01T00:00:00.000Z,EGY
Bush,2003-01-01T00:00:00.000Z,EGY
Obama,2009-01-01T00:00:00.000Z,EGY
Biden,2022-01-01T00:00:00.000Z,EGY
Roosevelt,1943-01-01T00:00:00.000Z,DZA
Roosevelt,1943-01-01T00:00:00.000Z,MAR
Eisenhower,1959-01-01T00:00:00.000Z,MAR
Clinton,1999-01-01T00:00:00.000Z,MAR
Roosevelt,1943-01-01T00:00:00.000Z,TUN
Eisenhower,1959-01-01T00:00:00.000Z,TUN
Clinton,1998-01-01T00:00:00.000Z,BWA
Bush,2003-01-01T00:00:00.000Z,BWA
Clinton,1998-01-01T00:00:00.000Z,ZAF
Bush,2003-01-01T00:00:00.000Z,ZAF
Obama,2013-01-01T00:00:00.000Z,ZAF
Bush,2008-01-01T00:00:00.000Z,BEN
Roosevelt,1943-01-01T00:00:00.000Z,FRA
Roosevelt,1943-01-01T00:00:00.000Z,GMB
Clinton,1998-01-01T00:00:00.000Z,GHA
Bush,2008-01-01T00:00:00.000Z,GHA
Obama,2009-01-01T00:00:00.000Z,GHA
Roosevelt,1943-01-01T00:00:00.000Z,LBR
Carter,1978-01-01T00:00:00.000Z,LBR
Bush,2008-01-01T00:00:00.000Z,LBR
Carter,1978-01-01T00:00:00.000Z,NGA
Clinton,2000-01-01T00:00:00.000Z,NGA
Bush,2003-01-01T00:00:00.000Z,NGA
Clinton,1998-01-01T00:00:00.000Z,SEN
Bush,2003-01-01T00:00:00.000Z,SEN
Obama,2013-01-01T00:00:00.000Z,SEN
Roosevelt,1934-01-01T00:00:00.000Z,BHS
Kennedy,1962-01-01T00:00:00.000Z,BHS
Reagan,1982-01-01T00:00:00.000Z,BRB
Clinton,1997-01-01T00:00:00.000Z,BRB
Roosevelt,1940-01-01T00:00:00.000Z,GBR
Kennedy,1963-01-01T00:00:00.000Z,CRI
Johnson,1968-01-01T00:00:00.000Z,CRI
Reagan,1982-01-01T00:00:00.000Z,CRI
Bush,1989-01-01T00:00:00.000Z,CRI
Clinton,1997-01-01T00:00:00.000Z,CRI
Obama,2013-01-01T00:00:00.000Z,CRI
Coolidge,1928-01-01T00:00:00.000Z,CUB
Obama,2016-01-01T00:00:00.000Z,CUB
Johnson,1968-01-01T00:00:00.000Z,SLV
Clinton,1999-01-01T00:00:00.000Z,SLV
Bush,2002-01-01T00:00:00.000Z,SLV
Obama,2011-01-01T00:00:00.000Z,SLV
Reagan,1986-01-01T00:00:00.000Z,GRD
Carter,1979-01-01T00:00:00.000Z,GLP
Johnson,1968-01-01T00:00:00.000Z,GTM
Clinton,1999-01-01T00:00:00.000Z,GTM
Bush,2007-01-01T00:00:00.000Z,GTM
Roosevelt,1934-01-01T00:00:00.000Z,HTI
Clinton,1995-01-01T00:00:00.000Z,HTI
Johnson,1968-01-01T00:00:00.000Z,HND
